(7, 15, 14, 6) 29 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1, 0, 0]]
(7, 16, 16, 7) 32 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, 0, -1/3, 0], [1, 0, 0, 0], [1, 0, 1, 0]]
(7, 16, 16, 7) 32 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/2, -1/2, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 17, 17, 7) 32 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 0, 1], [1, 1, 1, 0]]
(7, 17, 18, 8) 35 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, -1/3, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 17, 18, 8) 35 [[-1/3, 0, 0, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 17, 18, 8) 35 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, -1, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 17, 18, 8) 36 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 1, 0, 1], [1, 0, 0, 0], [1, 0, 1, 0]]
(7, 18, 19, 8) 35 [[0, -1/3, -1, 1/3], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 17, 19, 9) 38 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1/5, 1/5, 1/5]]
(7, 18, 20, 9) 38 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, -1/2, -1, 0]]
(7, 18, 20, 9) 38 [[-1, 1, 1, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(7, 18, 20, 9) 38 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1/4, 1, 1/2, 1/4]]
(7, 18, 20, 9) 38 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, 0, 1, 1/2]]
